State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/16,Parts per billion,None,23,96,4.243478,15,7,14,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/17,Parts per billion,None,22,92,2.663636,6,2,6,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/18,Parts per billion,None,22,92,2.427273,3.6,19,3,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/19,Parts per billion,None,23,96,2.986957,7.1,8,7,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/20,Parts per billion,None,23,96,4.443478,13.5,19,12,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/21,Parts per billion,None,23,96,2.16087,4,0,4,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/22,Parts per billion,None,23,96,6.943478,28.2,22,26,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/23,Parts per billion,None,23,96,9.004348,22,4,21,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/24,Parts per billion,None,22,92,3.495455,7,5,7,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/25,Parts per billion,None,22,92,2.040909,3.8,3,3,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
